This supplement lists certain entities or addresses subject to license requirements and other Entity List restrictions for specified items under this part 744 and part 746 of the EAR. License requirements for these entities include exports, reexports, and transfers (in-country) unless otherwise stated. A license is required, to the extent specified on the Entity List, to export, reexport, or transfer (in-country) any item subject to the EAR when an entity or a party to the transaction is operating at an address that is listed on the Entity List under an address entry is a party to the transaction as described in § 748.5(c) through (f) of the EAR. The Entity List license requirements and other Entity List restrictions also apply to any foreign entity that is owned, directly or indirectly, individually or in aggregate, 50 percent or more by one or more listed entities or entities that are subject to restrictions based upon their ownership. An entity owned 50 percent or more, directly or indirectly, by multiple entities subject to EAR license requirements pursuant to some combination of the Entity List, MEU List, or SDN List designated under programs listed in § 744.8(a)(1), is subject to the most restrictive license requirements, license exception eligibility, and license review policy applicable to one or more of its owners under the EAR. If an exporter, reexporter, or transferor cannot determine the ownership percentage of a foreign entity that is an entity owned, directly or indirectly, by one or more listed entities, they must resolve the Red Flag or obtain a license from BIS prior to proceeding with the export, reexport, or transfer (in-country), unless a license exception is available (see Red Flag 29 in supplement no. 3 to part 732). This list is revised and updated on a periodic basis in this supplement by adding new or amended notifications and deleting notifications no longer in effect.
Country | Entity | License requirement | License reviewpolicy | Federal Register citation
AFGHANISTAN | Abdul Satar Ghoura, 501, 5th Floor, Amanullah Sancharaki Market Opp Chaman E Huzuri, Kabul, Afghanistan; and Flat No. 41 Block No. 24 Macroyan 3, Kabul, Afghanistan. (See alternate addresses under Pakistan). | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 76 FR 71869, 11/21/11.
Afghan-German Construction Company, Golaye Park, Shari Naw, Kabul, Afghanistan, and Dasht Qala, Takhar Province, Afghanistan. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 77 FR 25057, 4/27/12.
Ningbo Nanda Optoelectronic Materials Ltd., a.k.a., the following three aliases: —Ningbo Nata; —Ningbo NTU; and —Ningbo NTU Optoelectronics. No. 233, Yangzhou'ao Road, Chaiqiao Street, Beilun District, Ningbo, China. | For all items subject to the EAR (See § 744.11 of the EAR) | Presumption of denial | 89 FR 96836, 12/5/24.
Ningbo Semiconductor International Corporation (NSI), No. 331-335 Anju Road, Xiaogang Street, Beilun District, Ningbo, Zhejiang, China; and 1MC07, Jiuzhou Center, No. 95, Lane 85, Cailun Road, Pudong New Area, Shanghai, China. | For all items subject to the EAR (See § 744.11 of the EAR) | See §§ 744.11 and 744.23(d) of the EAR | 85 FR 83420, 12/22/20. 89 FR 96836, 12/5/24.
North Huawei Communication Technology Co., Ltd., Beijing, China. | For all items subject to the EAR, see §§ 734.9(e) 1 and 744.11 of the EAR 2 | Presumption of denial | 84 FR 22963, 5/21/19. 85 FR 29853, 5/19/20. 85 FR 36720, 6/18/20. 85 FR 51603, 8/20/20. 87 FR 6026, 2/3/22. 87 FR 55250, 9/9/22.
Northern Integrated Circuit Technology Innovation Center (Beijing) Co., Ltd., a.k.a., the following five aliases: —Semiconductor Technology Innovation Center (Beijing) Corp.; —STIC; —STIC BJ; —Northern Integrated Circuit Innovation Center; and —STIC Northern Integrated Circuit Technology Innovation Center (Beijing) Co., Ltd. First Floor, Building 9, No. 18 Wenchang Avenue, Beijing Economic and Technological Development Zone, China; and 34M3 plot of land in the core area of Beijing Economic and Technological Development Zone, Beijing, China. | For all items subject to the EAR (See §§ 734.4(a)(9), 734.9(e)(3), and 744.11 of the EAR) 5 | Presumption of denial | 89 FR 96836, 12/5/24.
Northwest Institute of Nuclear Technology in the Science Research (NINTF), Xi'an, Shanxi; and P.O. Box 69-12, Xi'an, Shaanxi Province 710024. | For all items subject to the EAR. | See § 744.2 of this part | 64 FR 28909,5/28/99.75 FR 78883,12/17/10.77 FR 58006, 9/19/12.
Northwestern Polytechnical University, a.k.a. the following ten aliases: —Northwest Polytechnic University; —Northwest Polytechnical University; —Northwestern Polytechnic University; —Northwestern Polytechnical University, Beijing Research Institute; —Northwestern Polytechnical University, Chongqing Innovation Center; —Northwestern Polytechnical University, Collaborative Innovation Center; —Northwestern Polytechnical University, Ningbo Research Institute; —Northwestern Polytechnical University, Qingdao Research Institute; —Northwestern Polytechnical University, Shenzhen Research Institute; and —Northwestern Polytechnical University, Yangtze River Delta Research Institute. 127 Youyi Xilu, Xi'an 710072 Shaanxi, China; and Youyi Xi Lu, Xi'an, Shaanxi, China; and No. 1 Bianjia Cun, Xi'an, China; and West Friendship Rd. 59, Xi'an, China; and 3 10 W Apt 3, Xi'an, China; and Yard 5, Yangfangdian East Road, Haidian District, Beijing, China; and 20th Floor, Block B, Innovation Building, 17 Laodong South Road, Xi'an, China; and 25th Floor, Shenzhen Sanhang Technology Building, Northwestern Polytechnical University, No. 45, Gaoxin South 9th Road, Nanshan District, Shenzhen, China; and Building 4, Phase II, Qingdao Blue Valley Venture Center, Jimo District, Shandong Province, Qingdao City, China; and Lane 218, Qingyi Road, High-tech Zone, Ningbo, China; and 27 Zigang Road, Science and Education New Town, Jiangsu Province, Taicang City, China; and Building A2, Liangjiang Quaker Headquarters City, No. 598 Liangjiang Avenue, Longxing Town, Yubei District, Chongqing, China; and Block A, No. 515 Shennan Road, Minhang District, Shanghai, China. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 66 FR 24266, 5/14/01. 75 FR 78883, 12/17/10. 77 FR 58006, 9/9/12. 81 FR 64696, 9/20/16. 84 FR 40241, 8/14/19. 87 FR 62202, 10/13/22. 88 FR 13675, 3/6/23. 90 FR 44499, 9/16/25.
Nuopuxun Electronic Technology Co., Limited, a.k.a., the following one alias: —Shenzhen Nuopuxun Electronic Technology Co., Ltd. Huishang Center 3809, Futian District, Shenzhen, Guangdong, China; and No. 4 Longshan 4th Road, Building F, Floor 2, Third Industrial Zone, Songgang Community, Bao'an District, Shenzhen, Guangdong, 518015, China. | For all items subject to the EAR. (See §§ 734.9(g),3 746.8(a)(3), and 744.11 of the EAR) | Policy of denial for all items subject to the EAR. See § 746.8(b) | 88 FR 70353, 10/11/23. 89 FR 87265, 11/1/24.
O-Nice Trading Co. Limited, a.k.a., the following three aliases: —O-Nice; —Shenzhen Penghuaxin Technology Co., Ltd.; and —SZPHX Tech. Room A838, Huameiju CBD Building, Xinhu Road, Bao'an District, Shenzhen, Guangdong, 518000, China; and Room 14, 29/F, Ho King Commercial Centre, 2-16 Fa Yuen St., Mong Kok, Kowloon, Hong Kong. | For all items subject to the EAR (See §§ 734.9(g),3 746.8(a)(3), and 744.11 of the EAR) | Policy of denial for all items subject to the EAR. See § 746.8(b) | 89 FR 68548, 8/27/24.
OEM Hub Co Ltd, Rm 3208 32/F Central Plaza, 18 Harbour Road, Wanchai, Hong Kong; and Flat/RM 2309, 23/F, Ho King COMM Center, 2-16 Fa Yuen Street, Mongkok KLN, Hong Kong. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 76 FR 67062, 10/31/11.85 FR 83769, 12/23/20.
Onstar Electronics Co. Ltd., No. 45 Hoi Yuen Road, Yau Lee Center, 3rd Floor, Unit 83, Kwun Tong, Kowloon, Hong Kong; and Zhonghang Road, Dynamic World Building Room 811, Futian District, Shenzhen, Guangdong, 518031, China. | For all items subject to the EAR. (See §§ 734.9(g),3 746.8(a)(3), and 744.11 of the EAR) | Policy of denial for all items subject to the EAR. See § 746.8(b) | 88 FR 70353, 10/11/23. 89 FR 87265, 11/1/24. 90 FR 44499, 9/16/25.
OnTime Electronics Technology Company, Room 609-610 6/F Boss Commercial Center, 28 Ferry Street, Jordon, Kowloon, Hong Kong. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 75 FR 36519, 6/28/10.85 FR 83769, 12/23/20.
Opturn Co., Ltd., a.k.a. the following one alias: —Beijing Outang Technology Co., Ltd. Yingzhi Building, No., 49-3, Suzhoujie Street, Beijing, China; and Room 301, Building 3, Northwest District, Suzhou Nano City, Suzhou Industrial Park, Suzhou, China; and Room 102, Block B, Oriental Hope Building, No. 3 Gaopeng Avenue, High-tech Zone, Chengdu, China. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 88 FR 38741, 6/14/23.
ORICAS Import and Export (Beijing) Corporation, a.k.a., and the following two aliases: —ORICAS; and —Dongfang Guoke (Beijing) Import and Export Co., Ltd. Floor 21, Internet Finance Center, 1 Danling Street, Beijing, China; and Room 1406, 1408, 14th Floor, No. 67 Fucheng Road, Beijing, China; and 114 Nanta Street, Shenyang, China; and 2699 Qianjin Street, Changchun, China; and 508, Life Science Building, Vangu Jianchiang Road, Changchun, China; and No. 600, Dunyu Road, Hangzhou, China; and No. A-2, West 3rd Ring North Road, Beijing, China; and No. 18, Shilongshan Road, Hangzhou, China; and No. 3, Shuyuan East Road, Xian, China. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 90 FR 14035, 3/28/25.
Oriental Crystal Microelectronics Technology (Qingdao) Co., Ltd., a.k.a., the following one alias: —Dongfang Jingyuanwei Electronic Science & Technology (Qingdao) Co., Ltd. No. 9 Chengye Road, Room 306, 3rd Floor, Office Building, West Coast Comprehensive Bonded Zone, Qingdao, China and Room 306, Floor 3, No. 9 Chengye Road, Xihaian Integrated Free Trade Zone, Qingdaopian District, China Pilot Free Trade Zone, Qingdao, Shandong, 266000, China. | For all items subject to the EAR (See § 744.11 of the EAR) | Presumption of denial | 89 FR 96836, 12/5/24.
Oriental Crystal Microelectronics Technology (Shanghai) Co., Ltd., a.k.a., the following one alias: —Dongfang Jingyuanwei Electronic Science and Technology (Shanghai) Co., Ltd. No. 888, Huanhu West 2nd Road, Building C, Lingang New Area, Shanghai, China and Floor C, No. 888 Huanhu W 2nd Road, Lingang Xinpian District, China Pilot Free Trade Zone, Shanghai, China. | For all items subject to the EAR (See § 744.11 of the EAR) | Presumption of denial | 89 FR 96836, 12/5/24.
Oriental Logistics Group LTD, a.k.a., the following one alias:—Oriental Air Transport Service Ltd. Room 2114, 21/F., Shenhua Commercial, Bldg., No. 2018 Jiabin Rd., Luo Hu District, Shenzhen, China 418001; and Unit B, 10th Floor, United Overseas Plaza, No. 11, Lai Yip Street, Kwun Tong, Kowloon, Hong Kong. | All items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 85 FR 59421, 9/22/20.85 FR 83769, 12/23/20.87 FR 38925, 6/30/22.
Origin Quantum Computing Technology (Hefei) Co., Ltd., a.k.a., the following four aliases: —Origin Quantum; —Origin QC; —Hefei Origin Quantum Computing Technology Co., Ltd.; and —Hefei Benyuan Quantum Computing Technology Co., Ltd. Building D8, Zhongan Chuanggu Science and Technology Park, No. 900, Wangjiang West Road, Shushan District, Hefei, China; and 6th Floor, Building E2, Phase II, Innovation Industrial Park, No. 2800, Chuangxin Avenue, High-tech Zone, Hefei, China; and No. 104, Building 21, Maker Mansion, No. 2039, South Section of Tianfu Ave., Tianfu New District, Chengdu, China; and Room 101, Floor 2-6, Building 5, East District, No. 10 Northwest Wangdong Road, Haidian District, Beijing, China. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 89 FR 41888, 5/14/24.
Panda International Information Technology Company, Ltd., 7/F, B Tower, Yingwu Conference Center, No. 6. Huayuan Road, Haidian District, Beijing, China; and Rm 606 Block B, Beijing Agricultural Science Building, Shugang Garden Haidian Middle Rd, Beijing, China | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 79 FR 36202, 6/26/14.
Panda Semiconductor, Room 2, Unit A 14/F Shun on Commercial building, 112-114 Des Voeux Road, Central, Hong Kong. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 81 FR 40178, 6/21/16.85 FR 83769, 12/23/20.
Peac Institute of Multiscale Science, a.k.a., the following two aliases:—Peak Multiscale Science Institute; and—Peak Multi-Scale Scientific Research Institute. 111, 1st Section, Northern 2nd Ring Road, Chengdu, China. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 85 FR 34497, 6/5/20.
Peaceful Vision (Lianyungang) Electronic Co., Ltd., a.k.a., the following two aliases:—Hangxing Electronics (Lianyungang) Co., Ltd; and—Peaceful Vision Co., Ltd. No. 1 Changxing Road, Song Economic High-tech Zone, Lianyungang, Jiangsu, China; and No. 1 Changxing Road, Songtiao Hi-Tech Industrial Development Zone, Lianyungang, Jiangsu, China; and 20K, West Building, Science and Technology Capital, 668 Beijing East Road, Huangpu District, Shanghai, China; and Room 601, Unit 4, Building 5, Yufu Jiayuan, Yuquan Road, Haidian District, Beijing, China; and 4201A, 42/F, SEG Plaza, Shennan Middle Road, Shenzhen, China; and Room 813 8/F Hung Hom Commercial Center Block A 39 Ma Tau Wai Road, Hung Hom, Kowloon, Hong Kong. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 85 FR 52901, 8/27/20.85 FR 83769, 12/23/20.
Peaktek Company Ltd., Room 803, Chevalier Building, 45-51 Chatham Road, South Kowloon, Hong Kong. | All items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 86 FR 67319, 11/26/21.
Peng Cheng Laboratory, a.k.a., the following five aliases: —Pengcheng Laboratory; —Peng Cheng Lab; —Pengcheng Lab; —Shenzhen Provincial Laboratory of Cyberspace Science and Technology; and —PCL. No. 2 Xingke First Street, Nanshan District, Shenzhen, Guangdong, China; and Building 8, Phase 1, Vanke Cloud City, Liuxiandong, Xili Street, Nanshan District, Shenzhen, China; and Wan Ke Yun Cheng, Yi Qi 8 Dong, Shenzhen, China. Zhigu 2nd Street, Songbei District, Harbin, Heilongjiang, 15000, China. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 90 FR 561, 1/6/25.
Pera Global, a.k.a. the following three aliases: —Anshi Asia Pacific; —Anshi Asia-Pacific Technology Co., Ltd.; and —Pera Corporation Ltd. Building CN08, No. 1, Balizhuang Dongli, Chaoyang District, Beijing, China; and Room 901, Building 5, Jingyao Qiantan, No. 36, Pingjiaqiao Road, Pudong New Area, Shanghai; and Room 313, Neusoft Software Park, No. 1000 Ziyue Road, Minhang District, Shanghai, China; and Room 02, 03, 7th Floor, No. 201, Century Avenue, (Shanghai) Pilot Free Trade Zone, China; and Unit 2602-2607, Building 2, International Finance Center, No. 1, Section 3, Hongxing Road, Jinjiang District, Chengdu, China; and A730, Lidu Plaza, No. 8, Dakejia Lane, Jinjiang District, Chengdu City, Sichuan Province, China; and Unit 01, Building 1, Block 16, Helenbergh Creative Park, No. 329, Yushan West Road, Panyu District, Guangzhou, China; and 18th Floor, Building D1, Science and Technology City, No. 32, Dazhou Road, Yuhuatai District, Nanjing, China; and Room 605, Office Building, Wanda Center, No. 96, Linjiang Avenue, Jiyu Bridge, Wuchang District, Wuhan City, China; and Room 2210, Guomao Building, No. 38 Qingnian Road, Yuzhong District, Chongqing, China; and Room 1508/1509, Block A, Haixing City Plaza, No. 37 Keji Road, Hi-tech Industrial Development Zone, Xi'an City, China; and Room 505, Building B01, International Software Park, Hunnan District, Shenyang City, China; and Room 1301, 13/F, Baofa Commercial Building, 20 Austin Road, Tsim Sha Tsui, Kowloon, Hong Kong. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 88 FR 38741, 6/14/23.
Physike Technology Co., Ltd., a.k.a., and the following three aliases: —Beijing Feisco Technology Co., Ltd.; —Physike Hong Kong Tech Co., Ltd.; and —Physike HK Technology Co., Ltd. 1st Floor, Building 19, Guanghua Entrepreneurship Park, Beijing, China; and 1st Floor, No. 38 Tieling Road, Shanghai, China; and Building 27, Tong Sha Ke Cuang Industrial Park, Beijing, China. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 90 FR 14035, 3/28/25.
Pinky Trading Co., Ltd., 338 Queen's Road, Central, Hong Kong. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 81 FR 40178, 6/21/16.85 FR 83769, 12/23/20.
Piotech., a.k.a., the following two aliases: —Tuojing Technology; and —Shenyang Tuojing Technology Co., Ltd. No. 900, Shuijia, Hunnan District, Shenyang, China; and No. 1 Xinyuan Street, Shenyang, China; and A072, Floor 3, Building 3, International Enterprise Center Phase 3, No. 1 Guanggu Avenue, Wuhan, China; and Room 217, 2nd Floor, Building 6, No. 16 Hongda North Road, Beijing, China; and Room 403, Floor 4, Building 1, No. 501 Xuri Road, Lingang New Area, Shanghai, China. | For all items subject to the EAR (See § 744.11 of the EAR) | Presumption of denial | 89 FR 96836, 12/5/24.
Piotech (Beijing) Co., Ltd., a.k.a., the following one alias: —Tuojing (Beijing) Co., Ltd. Room 217, Building 6, No. 16 Hongda North Road, Beijing, China. | For all items subject to the EAR (See § 744.11 of the EAR) | Presumption of denial | 89 FR 96836, 12/5/24.
Piotech (Shanghai) Co., Ltd., a.k.a., the following one alias: —Tuojing (Shanghai) Co., Ltd. Room 304, Building 10, No. 1211 Hongyin Road, Lingang New Area, Shanghai, China. | For all items subject to the EAR (See § 744.11 of the EAR) | Presumption of denial | 89 FR 96836, 12/5/24.
Piotech Chuangyi (Shenyang) Semiconductor Equipment Co., Ltd., a.k.a., the following one alias: —Tuojing Chuangyi (Shenyang) Semiconductor Equipment Co., Ltd. Building 2 and Building 3, No. 900, Shuijia, Hunnan District, Shenyang, China. | For all items subject to the EAR (See § 744.11 of the EAR) | Presumption of denial | 89 FR 96836, 12/5/24.
Piotech Jianke (Haining) Semiconductor Equipment Co., Ltd., a.k.a., the following three aliases: —Tuojing Jianke (Haining) Semiconductor Equipment Co., Ltd.; —Tuojing Keyscience (Haining) Semiconductor Equipment Co., Ltd.; and —Piotech Keyscience (Haining) Semiconductor Equipment Co., Ltd. Building 3, No. 8 Xinzhong Road, Haining Economic Development Zone, Jiaxing, China. | For all items subject to the EAR (See § 744.11 of the EAR) | Presumption of denial | 89 FR 96836, 12/5/24.
Piraclinos Limited, 7/F MW Tower, 111 Bonham Strand, Sheung Wan, Hong Kong. | For all items subject to the EAR (See §§ 734.9(g),3 746.8(a)(3), and 744.11 of the EAR) | Policy of denial for all items subject to the EAR. See § 746.8(b) | 89 FR 68548, 8/27/24.
Pishan Haishi Yong'an Electronic Technology Co., Ltd., a.k.a., the following two aliases: —PiShan Haishi YongAn Electronic Technology Co., Ltd.; and —Pishan Haishi Yongan Electronic Technology Co., Ltd. No. 28, Guma North Road, Pishan County, Hotan Prefecture, Xinjiang, 845150 China. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 88 FR 18985, 3/30/23.
Planet Technology, a.k.a., the following five aliases: —Planet Technology (Hong Kong) Ltd.; —Planet Technologies; —Planetec; —Stellar Technology (Hong Kong) Co., Ltd.; and —Pailai (Shanghai) Trading Co., Ltd. 15th Floor, New Times Center, 391-407 Jaffe Road, Wanchai, Hong Kong; and Room 2116, 21st Floor, Elevator No. 12, East District, Huaneng Building, No. 2068, Shennan Middle Road, Huaqiangbei Street, Futian District, Shenzhen, Guangdong, China; and Room 1604, West Tower, Zhongrong Hengrui Building, No. 560 Zhangyang Road, Pudong, Shanghai, China; and Room 2002, Wuxing Nianhua Business Building, No. 139 Hanzhong Road, Qinhuai District, Nanjing City, Jiangsu Province, China; and Room 805, Block 1, Guanghua Chang'an Building, No. 7 Jianguomen Inner Street, Dongcheng District, Beijing, China; and Room 13-2-407, Phase III, New Territories, No. 85, East 3rd Street, Taipingyuan, Wuhou District, Chengdu City, Sichuan Province, China. | For all items subject to the EAR. (See §§ 734.9(g),3 746.8(a)(3), and 744.21(b) of the EAR) | Policy of denial | 88 FR 85097, 12/7/23.
Poly Asia Pacific Ltd., (PAPL), a.k.a., the following alias:—Beijing Oriental Vision Petroleum Technology Company Limited (OVTEK-P). Room 1103, Hang Seng Mongkok Building, 677 Nathan Road, Mongkok, Kowloon Hong Kong; and Suite 803, Tower A. Olympic City, Fortune Centre, Beiyuan Road, Chaoyan, District Beijing, China. | All items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 86 FR 67319, 11/26/21.
Poly Technologies Inc., 11F Poly Plaza, 14 Dongzhimen Nandajie, Beijing China; and 27 Wanshoulu, Haidian district, Beijing, China | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 79 FR 36202, 6/26/14.
PRC Lode Technology Company, a.k.a., the following the following five aliases:—Lode International Limited;—Lode Technology Company;—Beijing Lode Technology Company, Ltd.;—Beijing Nuodian Keji Youxian Gongsi; and—Beijing Nuodian Technology. Room 8306 Kelun Building, 12A Guanghua Road, Chaoyang, Beijing 100020, China; and Room 801, Unit 1, Building 8 Caiman Street, Chaoyang Road, Beijing 100025, China; and Building 1-1, No. 67 Caiman Str., Chaoyang Road, Beijing 100123, China; and Room A407 Kelun Building, 12A Guanghua Road, Chaoyang, Beijing 100020, China; and Rm 602, 5/F, No. 106 NanHu Road, ChaoYang District, Beijing, China; and Suite 801, Unit 1, Building 8 Caiman Street Finance & Economics Center, Chaoyang Road, Chaoyang District, Beijing; and Suite 306, Lianhua Building No. 159 Tianzhou Road, Xuhui District, Shanghai 200233; and Suite 6B3, Building 15, No. 300 Tianlin Road, Xuhui District, Shanghai 200233; and Suite 1901, Unit 1, Block 8, District E, Ziwei Garden City, Chang'an Technological Garden, Xi'an, 710119; and Suite 2002, Unit 4, Building 1 Zhongda Junyue Jinsha Phase 3 No. 15 Jinxiang Road, Qingyang District, Chengdu, 610031; Suite 1506, Building 4, Dachengxiaoshi, No. 10 Qingjiang Zhong Road, Qingyang District, Chengdu 610072; and Suite 904, Building A6, Shunfeng Emerald Garden, No. 168 Zhaofeng Road, Shijing, Baiyun District, Guangzhou, 510410; and No. 1263 Airport Road, Baiyun District, Guangzhou; and Suite 201, Tower A, Building 14, Qianxihe Garden Center, Nanchang, 330002; and Room 1019—1020 Nan Fung Centre, 264—298 Castle Peak Road, Tsuen Wan New Territories, Hong Kong; and Room 1522 Nan Fung Centre, 264—298 Castle Peak Road, Tsuen Wan New Territories, Hong Kong. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 79 FR 44683, 8/1/14. 80 FR 69856, 11/12/15. 81 FR 14958, 3/21/16.85 FR 83769, 12/23/20.
PT Technology Asia Limited, a.k.a., the following one alias: —PT-Technology Asia Limited. 615-617 Tai Nan West Street, Park Fook Industrial Building, Room 623, Kowloon, Hong Kong; and Wah Kit Commercial Building, 11th Floor, Room B, Sheung Wan, Hong Kong. (See alternate address under Finland). | For all items subject to the EAR. (See §§ 734.9(g),3 746.8(a)(3), and 744.11 of the EAR) | Policy of denial for all items subject to the EAR. See § 746.8(b) | 88 FR 70353, 10/11/23. 89 FR 87265, 11/1/24.
PXW Semiconductor Manufactory Co., Ltd., a.k.a., the following seven aliases: —Peng Chip; —Shenzhen Peng Xin Wei IC Manufacturing; —Shenzhen Pengxin Micro Integrated Circuit Manufacturing Co., Ltd.; —PengXinWei; —PXW; —PXWSemi; and —Pengxin Micro. Room 727, Shanxia Building, No. 160, Xinxia Avenue, Shanxia Community, Pinghu Street, Longgang District, Shenzhen, 518111, China; and Building D, Zhongke Valley Industrial Park, Zhonghuan Avenue, Shanxia Community, Pinghu Street, Longgang District, Shenzhen, China. | For all items subject to the EAR (See §§ 734.4(a)(9), 734.9(e)(3), and 744.11 of the EAR) 5 | Presumption of denial | 87 FR 77508, 12/19/2022. 89 FR 96836, 12/5/24.
Qianpu Technology Co., Ltd., a.k.a., the following eleven aliases: —Beijing JDK Electrical Equipment Business Center; —Beijing JingDaKaiYue Electrical Equipment Business Center; —Forward Enterprise; —Forward Enterprises (Hong Kong) Ltd.; —Forward Group Ltd.; —JDK Electrical & Mechanical Equipment Business Center; —Qianpu (Beijing) Technology Co., Ltd.; —Qianpu Enterprise (Hong Kong) Co., Ltd.; —Speedy Enterprise Ltd.; —Speedy Enterprises; and —Step Forward Group Ltd. 1807, Floor 15, Office Building 2, No. 6 Courtyard, Futong East St., Chaoyang District Beijing, Beijing, 100000 China and Room 1807, Site B, Focus Square International Center, No. 6 Futong East Ave., Chaoyang District, Beijing, China; and Unit 1021, 10th Floor, Ocean Center, Harbor City, 5 Carton Road, TST, Kowloon, Hong Kong; and Room 508, Site D, Xinyuan Xingyuan International Plaza, Chaoyang District, Beijing, China; and Unit D, 10th Floor, China Overseas Building, 139 Hennessy Road, Wanchai Hong Kong; and Room 1705, Site E, Xingyuan International Plaza Chaoyang District, Beijing, China. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 88 FR 38741, 6/14/23.
Qihoo 360 Technology Company, No. 6 Jiuxianqiao Rd., Building No. 2, 3/F, Chaoyang District, Beijing, China; and No. 188-218 Shuangbin Road, Qingpu District, Shanghai 200001, China. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 85 FR 34497, 6/5/20.
Qing'an International Trading Group, a.k.a., the following three aliases:—Qing'an International Trading Group Company; and—Qing'an Company Shenzhen Station; and—China Qing'an International Trading Group. No. 27 Xiaoyun Road, Chaoyang District, Beijing 100027, China; and Room 901, Qing An Building, No. 27, Xiaoyun Road, Chaoyang District, Beijing, China 100027, China. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 79 FR 44683, 8/1/14.
Qingdao National Laboratory of Marine Science and Technology, a.k.a., the following one alias: —QNLM. 168 Wenhai Middle Rd., Aoshanwei, Jimo District, Qingdao, Shangdong, China, 266237. | For all items subject to the EAR. (See §§ 734.9(e)(2) and 744.11 of the EAR)4 | Presumption of denial | 88 FR 13675, 3/6/23.
Qingdao Sophgo Technology Co., Ltd., a.k.a., the following two aliases: —Qingdao Suanneng; and —Qingdao Sophon. Room 501, Building 20, Zone C, Kechuang Huigu (Qingdao) Science and Technology Park, No. 2 Xiuyuan Road, High-tech Zone, Qingdao, Shandong Province, China. | For all items subject to the EAR (See §§ 734.9(e)(2) and 744.11 of the EAR) 4 | Presumption of denial | 90 FR 4622, 1/16/25.
Qingxin Technology Co., Ltd., a.k.a. the following two aliases: —Clean Chip; and —Clean Chip HK. 15th Floor, Wan Zhaofeng Centre, 133 Hoi Bun Road, Kwun Tong, Kowloon, Hong Kong. | For all items subject to the EAR (See § 744.11 of the EAR) | Presumption of denial | 89 FR 96836, 12/5/24.
Quanjiao Nanda Optoelectronic Materials Ltd. a.k.a., the following one alias: —Quanjiao Nata. No. 686-688, Xincheng Avenue, Shitan Industrial Park, Shizi Town, Quanjiao County, Chuzhou, China. | For all items subject to the EAR (See § 744.11 of the EAR) | Presumption of denial | 89 FR 96836, 12/5/24.
Quantum Science and Technology Yangtze River Delta Industrial Innovation Center, a.k.a., the following one alias: —Suzhou Institute of Quantum Science and Technology of China Academy of Electronics Sciences. Room 101, Block 9C, Start-Up Zone, Yangtze River Delta International R&D Community, No. 286, Qinglonggang Road, Xiangcheng District, Suzhou, China. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 89 FR 41888, 5/14/24.
QuantumCTek Co., Ltd., a.k.a., the following four aliases:—HKUST National Shield Quantum Technology Co., Ltd.;—HKUST Guodun Quantum Technology Co., Ltd.;—National Shield Quantum; and—Anhui Quantum Communication Technology Co., Ltd. Floor 1, 3, 4, 5, 6, 7 of Building D3, 800 Wangjiang West Road, High-tech Zone, Hefei, Anhui, 230088, China. | All items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 86 FR 67319, 11/26/21.
Quliang Electronics Co., Ltd., No. 368 Jianxing Road, Integrated Circuit Science Park, Jinjiang City, Quanzhou, Fujian Province, China. | For all items subject to the EAR (See §§ 734.9(e)(2) and 744.11 of the EAR) 4 | Presumption of denial | 90 FR 4622, 1/16/25.
